street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
41,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2017,896300,1910,444
45,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2441,1029200,1920,421
57,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2393,927500,1922,387
22,THURSTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2034,869300,1910,427
20,THURSTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1985,832200,1895,419
16,THURSTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1918,666100,1900,347
6,THURSTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1380,779000,1949,564
4,THURSTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1617,814900,1940,503
2,THURSTON ST,East Boston,2128,Single Fam Dwelling,Td - Tudor,2296,734700,1930,319
30,SHAWSHEEN RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2680,887400,1915,331
164,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Td - Tudor,1969,851600,1940,432
125,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Bw - Bungalow,1296,579600,1933,447
9,NANCIA ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,2029,642900,1937,316
20,NANCIA ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1188,623700,1958,525
14,NANCIA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,3252,1222500,1918,375
10,NANCIA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1540,661200,1920,429
2,NANCIA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2121,946200,1920,446
137,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1567,745700,1925,475
147,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2371,900300,1932,379
25,ANNAVOY ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,2017,940900,1915,466
190,BAYSWATER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1716,694400,1919,404
156,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cp - Cape,1789,786900,1950,439
1155,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1104,576000,1952,521
1159,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,802,567900,1930,708
120,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cp - Cape,781,466500,1932,597
116,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1104,528400,1925,478
100,ST ANDREW RD,East Boston,2128,Single Fam Dwelling,Bw - Bungalow,2186,959900,1926,439
1203,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1568,498300,1910,317
1205,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1438,355100,1910,246
18,SWAN AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1820,699000,1987,384
21,SWAN AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2200,716000,1980,325
25,SWAN AV,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1032,464500,1974,450
27,SWAN AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2226,793600,1960,356
15,LEVERETT AV,East Boston,2128,Single Fam Dwelling,Rr - Raised Ranch,1232,660100,1967,535
19,LEVERETT AV,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2052,614700,1963,299
2,LAWN AV,East Boston,2128,Single Fam Dwelling,Sl - Split Level,2285,768300,1963,336
19,BREED ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2632,744000,1945,282
29,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1228,544700,1900,443
31,ASHLEY ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1784,606200,1900,339
15,BLACKINTON ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1233,693600,1953,562
221,LEYDEN ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2159,564700,1900,261
